,address,area,building_year,facts,heizkosten,image,kaltmiete,kaution,keywords,nebenkosten,num_rooms,online_id,parking,text_ausstattung,text_description,text_lage,text_sonstiges,text_summary,title,url,warmmiete,postcode,Balcony_Terrace,Elevator
10,"13089 Berlin (Heinersdorf), Rothenbachstr. 30",102.86,Baujahr 1996,"Balkon, Gäste WC, Personenaufzug, Einbauküche, Zentralheizung",163 €,https://media-pics1.immowelt.org/7/D/1/5/F28162CBFC0342F6877003C6B58F51D7.jpg,1018.31,"3.054,93","Anzahl der Badezimmer: 1, Anzahl Balkone: 1, Bundesland: Berlin, Zustand nach Vereinbarung",163,4.0,2v4cc4e,,,,,"Für den Zeitraum der Geltung des Gesetzes zur Mietenbegrenzung im Wohnungswesen in Berlin (MietenWoG Bln) ist von Ihnen nach der im MietenWoG Bln maximal geltenden Mietobergrenze lediglich die Nettokaltmiete von 9,04 €/m² zu zahlen. Dies entspricht einer Gesamtnettokaltmiete von 929,85 € monatlich.","4,0-Zimmer-Wohnung in Berlin Pankow","4,0-Zimmer-Wohnung in Berlin Pankow Etagenwohnung Berlin (2V4CC4E) ",https://www.immowelt.de/expose/2v4cc4e,"1018,31",13089,True,True
11,"10557 Berlin (Moabit), Klara-Franke-Straße  16",107.15,Baujahr 2018,"Balkon, Garten, Bad mit Wanne, Kelleranteil, Personenaufzug, Einbauküche",295 €,https://media-pics1.immowelt.org/2/C/F/6/3C73E3190CAF45C5BB3FF20126B46FC2.jpg,1819.0,"5.457,00","Anzahl der Schlafzimmer: 3, Anzahl der Badezimmer: 2, Anzahl der separaten WCs: 1, Anzahl Balkone: 1, Bundesland: Berlin, 7 Etagen",295,4.0,2vuu84d,,"Balkon, Garten, Keller, Fahrstuhl, Vollbad, Einbauküche, Gäste-WC, Sonstiges (s. Text)
Bemerkungen:
-Einbauküche
-Balkon/Terrasse
-Keller
-Personenaufzug
-Bodentiefe Duschen
-Schallisolierte Fenster
-Fußbodenheizung
-Hochwertiger Boden
-Elektrische Jalousien
-Video Gegensprechanlage
-Fahrradkeller
-Tiefgarage (optional)",,,"Heizungsart: Fußbodenheizung
Energieträger: Fernwärme
Habe ich ihr Interesse geweckt? Dann vereinbaren sie bitte einen Besichtigungstermin mit mir.
Telefonisch zwischen 11°° und 15°° am besten zu erreichen.
Ansprechpartner:
Hans-Joachim Kredelbach
01522 8601414","4 Zimmer Wohnung.  Balkon, Fußbodenheizung, Keller. Zentral.","4 Zimmer Wohnung.  Balkon, Fußbodenheizung, Keller. Zentral. Etagenwohnung Berlin (2VUU84D) ",https://www.immowelt.de/expose/2vuu84d,295 €,10557,True,True
12,14195 Berlin (Dahlem),171.9,Baujahr 2014,"Balkon, Terrasse, Bad mit Wanne, Kelleranteil, Zentralheizung",230 €,https://media-pics1.immowelt.org/4/A/0/E/6EBF7428ADC74D4E94BF27FC8AB2E0A4.jpg,2853.1,"8.559,30",,230,5.0,2v8rq4e,,,"Direkt gegenüber dem Messelpark befindet sich das von weiteren eleganten Villen umgebene 3-Familienhaus. Die ursprüngliche Einzelvilla wurde 2014/2015 in 3 hochwertige Wohnungen komplett neu aufgeteilt und vollständig modernisiert. Die hier zur Nachvermietung angebotene Wohnung erfüllt in Bezug auf die Lage, Ausstattung und Komfort höchste Ansprüche. Die im 1. OG gelegene Wohnung wird über das elegante Treppenhaus erreicht.","Der Ortsteil Dahlem zählt zu den begehrtesten Wohnlagen Berlins und bietet unzählige Erholungsflächen und Grünanlagen, wie z. B. der Grunewald oder der Botanische Garten. Der Messelpark befindet sich direkt vor der Tür.
Charakteristisch ist die fast durchgängige Bebauung mit herrschaftlichen Villen und historischen Einfamilienhäusern sowie in großzügigen Grünanlagen eingebetteten kleinen Wohnanlagen.
Einkaufmöglichkeiten befinden sich in Dahlem-Dorf, Schmargendorf und in wenigen Autominuten erreichbaren Schloßstraße.","Die Wohnung ist zum 01.07.2020 freiwerdend.
Eine teilgewerbliche Nutzung ist möglich.",Exklusive Wohnung direkt am Messelpark - Bernadottestraße,Exklusive Wohnung direkt am Messelpark - Bernadottestraße Wohnung Berlin (2V8RQ4E) ,https://www.immowelt.de/expose/2v8rq4e,230 €,14195,True,False
13,"10557 Berlin (Moabit), Klara-Franke-Straße 22",84.44,Baujahr 2019,"Balkon, Gäste WC, Personenaufzug, Zentralheizung",296 €,https://media-pics2.immowelt.org/8/B/1/5/91ADFC874729471E8745931CE9D251B8.jpg,1195.0,"3.585,00","Anzahl der Schlafzimmer: 2, Anzahl der Badezimmer: 2, Anzahl Balkone: 1",296,3.0,2v94m4e,,"Diese 3-Zimmer-Wohnung ist das ideale Zuhause für all diejenigen, die nicht nur immer wieder gerne heimkehren, sondern ebenso gerne Zeit in den eigenen vier Wänden verbringen. Denn hier kann man es sich so richtig gemütlich machen. Nicht nur wegen des tollen Wohn-/Koch- und Essbereiches, der sich ideal für gemeinsame Stunden eignet. Diese Wohnung hat nämlich mehr als das zu bieten. Nämlich ein fantastisches Wannenbad mit separater Dusche, ein Gäste-WC und einen Balkon. Dank des gut durchdachten und in sich stimmigen Grundrisses ist hier wohlfühlen ab dem ersten Moment angesagt.
Details:
- Ca. 2,65 m lichte Raumhöhe
- Design-Fußbodenbelag
- Fenster und Fenstertüren, Terrassen mit Wärmedämmverglasung
- Wärmeschutz gemäß EnEV 2014 unter Berücksichtigung der KfW70 (EnEV 2009)
- Sonnen-/Sichtschutz durch elektrisch gesteuerte Senkrechtmarkisen in allen Fenstern und Fenstertüren
- Aufzug
- Videogegensprechanlage
- Kellerabstellraum
- 63 PKW-Stellplätze in der Tiefgarage (davon 8 E-Ladestationen)
- Fahrradstellplätze im Untergeschoss
- Fern- und Nahwärme / KWK",,,"Vertriebsbüro Mittenmang Mieten
Lehrter Straße 23
10557 Berlin
Aktuell können wir keine Öffnungszeiten unseres Vertriebsbüros anbieten.
Persönliche Termine sind daher zurzeit nur nach vorheriger telefonischer Vereinbarung möglich.
Kontakt:
Tel.: +49 (30) 884593-883
Mail: info@mittenmang-mieten.de
Internet: www.mittenmang-mieten.de
Wir freuen uns auf Ihren Besuch.",Bereits über 90% vermietet! Eine der letzten 3-Zimmer-Wohnungen mit gesenkter Kaltmiete,Bereits über 90% vermietet! Eine der letzten 3-Zimmer-Wohnungen mit gesenkter Kaltmiete Etagenwohnung Berlin (2V94M4E) ,https://www.immowelt.de/expose/2v94m4e,296 €,10557,True,True
14,"10369 Berlin (Lichtenberg), Rudolf-Seiffert-Straße 06",88.99,Baujahr 1977,"Balkon, Kelleranteil, Personenaufzug, Zentralheizung",163 €,https://media-pics2.immowelt.org/B/E/7/C/73D42AE87B814A9E9DAAB42320C8C7EB.jpg,515.88,"1.385,85",Anzahl Balkone: 1,163,4.0,2vdzv4e,,Aufzug; Türsprechanlage; Isolierverglasung; Warmwasser zentral (über Heizanlage); unterfahrbarer Waschtisch; Waschmaschinenanschluss; Kellerraum; Zentralheizung; Fernwärme; Rauchwarnmelder; Bodenbelag PVC; Fassadenvollwärmeschutz; Balkon;,,,"Bei der dargestellten Miete handelt es sich um die zulässige Grundmiete nach dem Bürgerlichem Gesetzbuch (BGB), insbesondere nach den 556 d ff. BGB (Mietpreisbremse). Gegebenenfalls wird im Rahmen des MietenWoG Bln ein Abschlag gewährt. Wir werden diesen - dann vorläufigen - Abschlag vor Mietvertragsschluss nach den Bestimmungen des MietenWoG Bln beziffern und erläutern. Genauere Informationen erhalten Sie im Rahmen des Mietvertragsabschlusses.
Die Kabelgebühren sind bereits in den Nebenkosten enthalten.
Hinweise darüber, wie die Vonovia Ihre personenbezogenen Daten als Interessent verarbeitet, erhalten Sie unter www.vonovia.de/datenschutzinformation. Alle Angaben in diesem Exposé wurden sorgfältig und so vollständig wie möglich gemacht. Gleichwohl kann das Vorhandensein von Fehlern nicht ausgeschlossen werden. Die Angaben in diesem Exposé erfolgen daher ohne jede Gewähr. Maßgeblich sind die im Mietvertrag geschlossenen Vereinbarungen. Soweit die Grundrissgrafiken Maßangaben und Einrichtungen enthalten, wird auch für diese jegliche Haftung ausgeschlossen. Mietverhandlungen sind ausschließlich über den benannten Ansprechpartner zu führen. Mietpreisänderungen bleiben vorbehalten.
Buchen Sie rund um die Uhr online Ihren Besichtigungstermin unter www.vonovia.de.",Miet mich - weitläufige 4-Zimmer-Wohnung,Miet mich - weitläufige 4-Zimmer-Wohnung Etagenwohnung Berlin (2VDZV4E) ,https://www.immowelt.de/expose/2vdzv4e,163 €,10369,True,True
15,"13403 Berlin (Reinickendorf), Waldstr. 106",52.83,Baujahr 1933,Kelleranteil,117 €,https://media-pics2.immowelt.org/A/E/F/B/57D65B12F18C4289AE4C1A74574BBFEA.jpg,488.68,"993,72",,117,1.5,2v6mv4e,,Rollläden; Türsprechanlage; Warmwasserbereiter; Kellerraum; Gas-Etagenheizung; Sat-Anlage/Kabel;,,,"Um einen Besichtigungstermin zu buchen, können Sie jederzeit unter Angabe der Referenz-/Objektnummer 82-0561060001 unseren Chatbot unter bot.vonovia.de erreichen. Sie erreichen uns ebenfalls über WhatsApp oder telefonisch - sehen Sie alle unsere Kontaktwege unter kontakt.vonovia.de.
Bei der dargestellten Miete handelt es sich um die zulässige Grundmiete nach dem Bürgerlichem Gesetzbuch (BGB), insbesondere nach den 556 d ff. BGB (Mietpreisbremse). Gegebenenfalls wird im Rahmen des MietenWoG Bln ein Abschlag gewährt. Wir werden diesen - dann vorläufigen - Abschlag vor Mietvertragsschluss nach den Bestimmungen des MietenWoG Bln beziffern und erläutern. Genauere Informationen erhalten Sie im Rahmen des Mietvertragsabschlusses.
Die Kabelgebühren sind bereits in den Nebenkosten enthalten.
Hinweise darüber, wie die Vonovia Ihre personenbezogenen Daten als Interessent verarbeitet, erhalten Sie unter www.vonovia.de/datenschutzinformation. Alle Angaben in diesem Exposé wurden sorgfältig und so vollständig wie möglich gemacht. Gleichwohl kann das Vorhandensein von Fehlern nicht ausgeschlossen werden. Die Angaben in diesem Exposé erfolgen daher ohne jede Gewähr. Maßgeblich sind die im Mietvertrag geschlossenen Vereinbarungen. Soweit die Grundrissgrafiken Maßangaben und Einrichtungen enthalten, wird auch für diese jegliche Haftung ausgeschlossen. Mietverhandlungen sind ausschließlich über den benannten Ansprechpartner zu führen. Mietpreisänderungen bleiben vorbehalten.
Buchen Sie rund um die Uhr online Ihren Besichtigungstermin unter www.vonovia.de.
Baudenkmal: Gem. 16 Abs.5 der EnEV 2014 ist das Gebäude von der Pflicht zur Erstellung eines Energieausweises befreit. Er liegt nicht vor.",Wir sanieren für Sie!,Wir sanieren für Sie! Wohnung Berlin (2V6MV4E) ,https://www.immowelt.de/expose/2v6mv4e,117 €,13403,False,False
16,10178 Berlin (Mitte),101.6,Baujahr 2004,"Terrasse, Gäste WC, Kelleranteil, barrierefrei, Personenaufzug, Einbauküche, Zentralheizung, Neubau","406,40 €",https://media-pics2.immowelt.org/B/A/4/2/9AA01FCBFF8A4795AB50E7CEC49324AB.jpg,1502.66,"4.507,98","Stellplatz vorhanden, Anzahl der Schlafzimmer: 1, Anzahl der Badezimmer: 1, Anzahl Terrassen: 1, 8 Etagen, modernisiert: 2018","406,40",2.0,2v2jm4e,,,,,,an der museumsinsel 2 zi-whg balkon  EBK Concierge Aufzug u. TG (2.11),an der museumsinsel 2 zi-whg balkon  EBK Concierge Aufzug u. TG (2.11) Etagenwohnung Berlin (2V2JM4E) ,https://www.immowelt.de/expose/2v2jm4e,"406,40 €",10178,True,True
17,"12047 Berlin (Neukölln), Maybachufer 2",27.0,Baujahr 1890,"Garten, Stellplatz, renoviert, Dielenboden, Zentralheizung",,https://media-pics1.immowelt.org/3/B/F/F/B7ECFF7C2378470EB7594749448BFFB3.jpg,,1245,,50,1.0,2vhdm4e,,,,,,BERLIN Mikorloft,BERLIN Mikorloft Apartment Berlin (2VHDM4E) ,https://www.immowelt.de/expose/2vhdm4e,780,12047,False,False
18,10178 Berlin (Mitte),150.0,Baujahr 2005,"Terrasse, Gäste WC, Kelleranteil, barrierefrei, Personenaufzug, Einbauküche, Zentralheizung, Neubau",630 €,https://media-pics2.immowelt.org/E/9/4/0/81845025C85342E3A29BB9B91F6E049E.jpg,2448.0,"7.344,00","Stellplatz vorhanden, Anzahl der Schlafzimmer: 2, Anzahl der Badezimmer: 2, Anzahl Terrassen: 1, 8 Etagen",630,3.0,2v2sm4e,,,,,,3 zi.whg an der spree gg museumsinsel mit concierge aufzug balkon EBK TG (6.5),3 zi.whg an der spree gg museumsinsel mit concierge aufzug balkon EBK TG (6.5) Etagenwohnung Berlin (2V2SM4E) ,https://www.immowelt.de/expose/2v2sm4e,630 €,10178,True,True
19,10178 Berlin (Mitte),391.1,Baujahr 2005,"Terrasse, Gäste WC, Kelleranteil, barrierefrei, Personenaufzug, Einbauküche, Zentralheizung, Neubau",,https://media-pics2.immowelt.org/A/9/E/C/7FBB7630BFA54096B8E08A35C39CCE9A.jpg,6062.05,"18.186,15","Stellplatz vorhanden, Anzahl der Schlafzimmer: 3, Anzahl der Badezimmer: 3, Anzahl Terrassen: 3, 8 Etagen",1.700,8.5,2v6sm4e,,,,,,"mit blick auf die museumsinsel, die spree und den berliner dom (7.1 u. 7.3)","mit blick auf die museumsinsel, die spree und den berliner dom (7.1 u. 7.3) Penthouse Berlin (2V6SM4E) ",https://www.immowelt.de/expose/2v6sm4e,1.700 €,10178,True,True
