address,area,attic,available_from_date,available_to_date,balcony,bath,bath_availability,bike_cellar,cable_tv,carpet,cellar,dishwasher,elevator,energy_building_year,energy_certificate_type,energy_consumption,energy_efficiency_class,energy_source,flatshare_friendly,floor_level,floorboards,freetext_area_description,freetext_other,freetext_property_description,furnished,garden,geo_latitude,geo_longitude,green_energy,guest_toilet,handicap_accessible,heating,heizungskosten,image,internet_dsl,internet_dsl_speed,internet_flatrate,internet_provider_change,internet_wlan,kaltmiete,kaution,kitchen_availability,laminate,linoleum,nebenkosten,num_rooms,offer_id,offer_in_exchange,online_tour,parking_option,parquet,partly_furnished,pets_allowed,phone_analog,phone_flatrate,phone_isdn,phone_voip,postcode,preis_qm_kalt,public_transport_in_minutes,satellite_tv,shared_garden,shower,smoking_is_allowed,terrace,tiles,title,underfloor_heating,url,warmmiete,washing_machine
Karl-Marx-Allee 55,85,0,2020-09-01,0000-00-00,0,1,0,1,,0,1,1,1,1965,2,,,6,1,11,0,"Die Wohnung befindet sich im Herzen von Friedrichshain, direkt am Strausberger Platz in der Karl-Marx-Allee.

Der Volkspark Friedrichshain mit dem angeschlossenen Klinikum liegt nur 10 Gehminuten entfernt und lädt zu Spaziergängen, Joggingrunden oder gemütlichen Grillabenden (vor allem im Sommer) ein.

Diverse Einkaufsmöglichkeiten (LIDL, Netto, EDEKA) sowie Restaurants, Ärzte uvm. sind ebenfalls fußläufig erreichbar.

Folgende Anbindungen sind direkt  vor der Tür:- U5 (Strausberger Platz): nur 2 Stationen zum Alexanderplatz - Bus 142 (Strausberger Platz): zum Ostbahnhof sind es ca. 6 min (Fernverkehr, S-Bahn), zum Hauptbahnhof sind es ca. 25 min

Die Straßenbahnhaltestelle befindet sich ca. 10 min fußläufig entfernt- M4, M5, M6, M8

**English

The apartment is located in the heart of Friedrichshain, directly on Strausberger Platz at Karl-Marx-Allee.

The Volkspark Friedrichshain with its adjoining hospital is only a 10-minute walk away and invites to walks, jogging laps or cozy barbecues (especially in summer).

Various shops (LIDL, Netto, EDEKA) as well as restaurants, doctors and much more. are also within walking distance.

The following connections you will find right outside the door:
- U5 (Strausberger Platz): only 2 stations away from Alexanderplatz- Bus 142 (Strausberger Platz): it takes about 6 minutes to Ostbahnhof (long-distance traffic, S-Bahn) and 25 minutes to the main train station (Hauptbahnhof)

The tram stop is located about 10 minutes away by foot:- M4, M5, M6, M8","Sendet mir bei Interesse bitte eure Bewerbung mit Mieterselbstauskunft an placeholder_ad_text_email. Ich bin nicht interessiert an kurzfristigen Mietern (Die Mietdauer sollte mindestens 6 Monate betragen).

**English

If interested, please send me your application with all required documents to my e-mail adress: sp@opsio.de
As already said, I am not interested in a short-term rental (the rental period should be at six months).","Diese 3-Zimmer-Wohnung bietet alles was das Herz begehrt und eignet sich perfekt als 3-er WG. Sie wurde gerade frisch saniert und anschließend liebevoll von uns eingerichtet. 

Es handelt sich um eine 85m² große Altbauwohnung in der 7. Etage mit Aufzug.   

Von dem großzügigen Flur aus gelangst du in alle Räume, die sich wie folgt aufteilen:

-Zimmer 1 (blau) mit Ausrichtung zum ruhigen Innenhof ist vollständig eingerichtet mit Bett, Schreibtisch, Kommode und Schrank- Zimmer 2 (rot) mit Ausrichtung zum ruhigen Innenhof ist vollständig eingerichtet mit Bett, Schreibtisch, Kommode und Schrank- Zimmer 3 (gelb) mit Ausrichtung zur Karl-Marx-Allee ist vollständig eingerichtet mit Bett, Sessel, Schreibtisch, Kommode und Schrank- Komplett ausgestattete Küche (inkl. Geschirrspüler), die als zentraler WG-Treffpunkt genutzt werden- Tageslichtbadezimmer ist mit einer Badewanne, sowie einer neuen Waschmaschine ausgestattet- Großzügiger Flur mit Garderobe, Schuhschrank und angrenzendem Abstellraum

Bei der Miete handelt es sich um eine All-inclusive Miete (inklusive aller Kosten wie Strom, Heizung, Internet, GEZ, Möbel etc.) Die genauen Maße der Zimmer findet ihr im Grundriss. 

Die Mietdauer sollte mindestens ein Jahr betragen. Ich freue mich auf eure Bewerbungen mit allen üblichen Unterlagen/Selbstauskunft per Mail.

**English

Hello there, 


The apartment is located in the heart of Friedrichshain, directly on Strausberger Platz (U5) at Karl-Marx-Allee.

The bright 85m² apartment welcomes you on the 7th floor in one of the historic Stalin buildings. It has just been renovated and then lovingly furnished by us.  The apartment can accommodate up to 3 people.

From the spacious hallway you can access all of the rooms, which are divided as follows:
- Bedroom 1 (blue) facing the quiet courtyard is fully furnished with a bed, desk, dresser and cupboard- Bedroom 2 (red) facing the quiet courtyard is fully furnished with a bed, desk, dresser and cupboard- Bedroom 3 (yellow) facing Karl-Marx-Allee is fully furnished with a bed, armchair, desk, dresser and cupboard- Fully equipped kitchen (including dishwasher), which can be used as the central meeting point - Daylight bathroom is equipped with a bathtub and a new washing machine- Spacious hallway with cloakroom, shoe cabinet and adjoining storage room

The rent is an all-inclusive rent (including all costs such as electricity, heating, internet, GEZ, furniture, etc.) The exact dimensions of the rooms can be found in the floor plan.

The rental period is at least one year.
I look forward to your applications with all the usual documents / self-information by mail.",1,0,52.518651,13.430275,0,0,2,4,,,,,,,,1700,2000,0,1,0,100,3,8039408,,,1,0,0,,,,,,10243,20.0,1,,0,1,,0,1,Helles modernes Apartment im Herzen von Berlin direkt am Strausberger Platz (U5),0,,1990,1
Neukölln,43,0,2020-06-18,0000-00-00,0,0,0,0,,0,1,0,0,,,,,,2,3,1,,,"610 € Warm inklusive Strom, Gas und Nebenkosten. Etwa 40-45 m2. Möbliert. (See English description below)

(Anzeige wurde wieder aktiviert, da die Mieterin doch Deutschland verlässt)

Es ist eine helle Wohnung im 2. Stock. Um die 45 m2. Altbau. Das Wohngefühl ist schön und hell mit hohen Decken und großen Fenstern in den Räumen. Die Wohnung liegt ruhig im Quergebäude mit Blick in einen grossen grünen Innenhof. 

Die Küche ist ein schöner Raum mit einem anständigen Ofen mit Kochfeldern und Backofen. Es gibt eine Waschmaschine, die etwas alt ist und gerne tanzt (aber sie funktioniert einwandfrei), einen großen Kühl- und Gefrierschrank, der zusammen mit einigen Utensilien in der Küche verbleibt. Es gibt auch einen Abstellraum, der mit der Küche verbunden ist.
Das grosse Wohn- und Schlafzimmer ist ein wunderschöner Raum. Mit zwei großen Fenstern, viel Platz und Licht, Schreibtisch, Schlafsofa, Schränkchen und mehr. Das Bad ist sehr klein und einfach mit Dusche.
Es gibt weiter einen kleinen Raum in der Wohnung (den ich nicht in die Quadratmeterzahl eingerechnet habe), der von der Hauptmieterin, Anja, als Lagerraum genutzt wird. 

Die Lage ist ausgezeichnet!! In Fussweite befinden sich der Kanal, Bars, Geschäfte, Supermärkte, der Treptower Park und sogar das Tempelhofer Feld. Sehr gut verbunden mit der U7 am Rathaus Neukölln.

Es handelt sich um eine Untermiete, möglicherweise langfristig, das musst Du mit Anja absprechen. Bitte keine Paare!
Es gibt momentan kein W-LAN. Musst du selbst anmelden. 

-------------------------------------------------------------------------------------

610 € warm including electricity, gas and Nebenkosten. About 40-45 m2. Furnished.

It is a bright apartment on the 2nd floor. Around 45 m2. Old building. The feeling of the flat is beautiful and bright with high ceilings and large windows in the rooms. The apartment is quietly located in the back building with a view of a large green courtyard, away from the street.

The kitchen is a nice room with a decent stove with hobs and oven. There is a washing machine that is a bit old and likes to dance (but it works fine), a large fridge and freezer that remains in the kitchen along with some utensils. There is also a storage room connected to the kitchen.
The large living room and bedroom is a wonderful room. With two large windows, lots of space and light, desk, sofa bed, cupboard and more.
There is also a small room in the apartment (not included in the square meter estimate) that is used by the main tenant, Anja, as storage space. The bath is quote small and simple. 

The location is excellent !! The canal, bars, shops, supermarkets, Treptower Park and even Tempelhofer Feld nearby. Very well connected to the U7 at Rathaus Neukölln.

It is a sublet, possibly long-term (to be discussed with Anja the tennant). Please no couples! No Internet in the moment! You have to do it yourself.",1,0,52.479862,13.437594,1,0,2,2,,,,,,,,610,,1,1,0,,1,7977140,,,0,0,0,,,,,,12043,14.186046511627907,5,,0,1,,0,0,Helle ruhige Wohnung zur Untermiete / Bright quiet flat for sub-let,0,,610,1
Strelitzer Str 59,37,0,2020-07-01,0000-00-00,0,0,0,0,,0,0,0,0,1918,2,,2,7,2,4,0,"Location:
2 min. to U8 Bernauer. Peaceful, centrally located neighborhood. Street situated between the localities of Gesundbrunnen and Mitte. Walking distance to Mauerpark and Nordbahnhof.","It has been my favorite place to live in Berlin. Lovely neighbors, polite and responsive leasing agency, and 
The street has a nice view of the TV tower. 

What I am looking for:
A 1 to 2 room apartment from 50m2, preferably with a balcony and bathtub in Neukölln, Kreuzberg, Kreuzkölln, Schöneberg. I have lived in the North for my entire duration in Berlin, and I would like to see how it is living in the south. 

If you have something that fits this description (and pictures), please feel free to write me.

Please only serious exchange offers.

Greetings Jelisa M","Hello,
What I offer:

A recently renovated studio apartment with 37m2 in the heart of Mitte (Bernauer Str). 

The apartment is in a super condition, non-smoking and very bright (see pictures). It is located in a quiet, friendly, family-friendly building and only a few minutes walk from Rewe, Mauerpark, Nordbahnhof, and many bus/line connections.

Apartment info:- 3rd floor- 37 qm- Two blocks from U8 Bernauer Str. stop, M10, M8, M12, S1, and S2- Semi- furnished: with couch and additional home accessories available for sale to complete furnishings- Clean, new appliances, great sunlight- Quiet beautiful street- Courtyard and TV tower view

The cold rent is € 663 p/m.",0,0,52.535740,13.394482,2,0,2,1,,,,,,,,663,1989,1,0,0,50,1,8054514,,,4,1,1,,,,,,10115,17.91891891891892,2,,0,1,,0,0,TAUSCH: 1 Zimmer Wohnung im Mitte gegen 1.5 - 2 Zimmer Wohnung im Kreuzkölln,0,,733,1
Arkonaplatz,64,0,2020-08-01,0000-00-00,1,1,0,1,,0,1,1,0,,,,,,2,3,0,,,"SWAP ONLY! Ich tausche meine wunderschöne ruhige Altbauwohnung mit großem Balkon und Badewanne am beliebten Arkonaplatz gegen eine ruhige 2-3 Zimmer Altbauwohnung in Hamburg-Ottensen. Bitte schicken Sie mir nur Angebote für diesen Hamburger Stadtteil.

Bei meinem Einzug habe ich Parket verlegen und die Wände abziehen lassen, sowie die Einbauküche übernommen; für alles zusammen nehme ich 1000,- EUR Abstand. Weitere Fotos bei passenden Angeboten.

NUR Tausch NUR mit Wohnung (kein EG, gerne Balkon, Dielenboden / Parkett bevorzugt) in HH-OTTENSEN für ca. 1000,- EUR warm mtl. (VB). Bitte schicken Sie mir nur nur Tauschangebote für diesen Hamburger Stadtteil. Datum ist flexibel, ab dem 1.9. ist möglich, eventuell aber auch zu einem späteren Zeitpunkt. Am Ende entscheidet natürlich der Vermieter.",0,0,52.537503,13.401769,1,0,2,4,,,,,,,,786,2660,1,0,0,130,2,7862009,,,3,1,0,,,,,,10435,12.28125,5,,1,0,,0,1,SWAP ONLY - NUR TAUSCH! Hamburg Ottensen für Berlin Arkonaplatz,0,,916,0
Wiedenbrücker Weg x,57,0,2020-07-01,0000-00-00,1,1,0,1,,0,1,1,0,1979,,0,,5,2,10,0,"Lage:
Hier gewinnen Sie Zeit: In unmittelbarer Umgebung befinden sich diverse Einkaufsmöglichkeiten, die wohl jedem Wunsch gerecht werden! Nur wenige Schritte (ca. 5-7 Min.) benötigt man zum U-Bahnhof Osdorfer Str.

Buslinien M85, 184 oder 186 können auch für eine gute Erreichbarkeit gewährleisten.

Dazu befindet sich die Freie Universität ebenfalls nur 15-20 Min. entfernt.","Benötigte Unterlagen, diese können Sie sehr gerne bereits zur Besichtigung mitbringen:
- Ausweiskopien- SCHUFA - Auskunft- Schuldenmitfrei - Nachweis- Gehaltsnachweise der letzten 3 Monate (ab dem Zeitpunkt des Einzugs)- Im Falle eines Bürgens werden auch die gleichen Unterlagen verlangt

WICHTIG: Die Möbel können bei Interesse gerne übernommen werden. Bitte im Vorfeld ankündigen.","Objekt:

Die sehr helle, gut geschnittene 2-Zimmer-Wohnung mit 57 m² befindet sich im 1. Obergeschoss eines Mehrfamilienhauses.

Alle Zimmer sind zur ruhigen Strasse ausgerichtet.

Vom Wohnungsflur gelangt man zunächst in das gemütliche Wohnzimmer, von dem man Zugang zur Küche und auf den großzügigen Balkon hat.

Hinter dem Wohnzimmer liegt ein Zwischenflur mit Zugang zum Schlafzimmer sowie zum innenliegenden Wannenbad.

Nähe der Freien Universität

Nur 5 Min. vom S-Bahnhof Osdorfer Str. entfernt.

Nach Verfügbarkeit kann zusätzlich ein KfZ-Stellplatz in der hauseigenen Tiefgarage angemietet werden.

Kaltmiete: 545 €

Nebenkosten: 135€
Heizkosten: 60€
Warmmiete: 740 €

Kaution: 1635€

Keine Tiere

Ausstattung:
Diese Ausstattungsmerkmale bietet diese schöne und gut geschnittene Wohnung:
- modernisierte u. helle Neubauwohnung
- mit großem Balkon. Zugang aus Schlaf- und Wohnzimmer
- großes Wohnzimmer
- integrierter Einbauküche (mit E-herd, Spülmaschine, Waschmaschine (neu 2019), Kühlschrank, Einbauschränken und Mikrowelle)
- modern gefliestes und helles Wannenbad ohne Fenster
- Zentralheizung + zentral Warmwasser (Kosten bereits in Vorauszahllungen der Miete enthalten)
- Keller / Abstellraum + Fahrradkeller
- Kfz-Stellplatz nach Verfügbarkeit zusätzlich anmietbar (momentan vermietet)",0,1,0.000000,0.000000,0,0,2,1,,,,,,,,545,1635,1,1,0,135,2,5869254,,,1,1,0,,,,,,12207,9.56140350877193,5,,1,0,,0,1,Schöne und moderne 2 Zi. - Wohnung mit großem Balkon + EBK in Lichterfelde - OHNE Provision! ZUM 01.07.2020,0,,740,1
"Osloer Str. 101, Postanschrift",72,0,2020-06-19,0000-00-00,0,0,0,0,,0,0,1,0,1900,2,165,6,6,1,1,1,"The local is located in Berlin Wedding, 5 minutes walk away from U-Bahn Osloer Str.
The BKK (berufsverband bildender künstler*innen berlin ) is located 2 minutes walk away.","Please send an email (localionel@gmail.com) saying for how long you want to rent the place, for how many people and a short description of your income level (I need to know how you will pay the rent) + your phone number.
I will contact you back.","This local got three rooms and can be used as an apartment (2 bedrooms + one living room with open kitchen) or like an Atelier + apartment (1 bedroom + one living room with open kitchen).

The local has on the court yard side : one bedroom with a double bed + 1 separat WC + one bathroom with shower
on the street side : a spacious corridor with a loft bed for guests + one big kitchen and leaving room + one big room (Atelier or second bedroom).
The local is fully furnished, the kitchen is equiped (dischwascher, washing machine). 
If used as an Atelier, there are possibiliy to rent more storage in the building.
High ceiling (+ 3,20 m)

Rent 950 € + utility costs (flat rate) 150 € = 1.100 €.
The contract will be an Gewerbemietvertrag the WBln

Minimum rent period : 6 months
Maximum : 10 years",1,0,0.000000,0.000000,0,1,2,1,,,,,,,,950,2500,1,0,0,150,3,7990066,,,0,0,0,,,,,,13359,13.194444444444445,5,,0,1,,0,1,Atelier Apartment in Wedding near BKK,0,,1100,1
Wittekindstr. 0,59,0,2020-06-19,0000-00-00,1,1,0,0,,0,1,0,0,,,,,6,1,10,1,,,"Happy swapping 
Biete meine zuckersüße Wohnung in Tempelhof zum Tausch 
2 Zimmer Dielen (Türkis lackiert )
Badewanne 
Schöner Balkon 
Schöner sehr grüner großer Innenhof 
Gute Lage - ruhig aber gut angebunden 
Man ist schnell in xBerg. Steglitz und Schöneberg 
Tauschen möchte ich wegen Tapetenwechsel- und nur gegen eine Wohnung die auch Charme hat :) 
Entweder grün oder eine hübsche stadtwohnung ... bin sehr gespannt",0,0,52.459284,13.372588,1,0,2,1,,,,,,,,360,,1,0,0,160,2,8062043,,,1,0,1,,,,,,12103,6.101694915254237,3,,1,0,,0,1,Tausche süße Wohnung - only swap,0,,520,0
Reichenbergerstr 144,80,0,2020-06-17,0000-00-00,1,1,0,1,,0,0,1,0,,,,,,2,6,0,Top Verkehrsanbindung. U-8 / U-1 direkt um's Eck. Görlitzer Park 5 Min zu Fuß. Kotti auch 5 Min. LPG Bio-Markt 50 Meter direkt gegenüber. Paul-Linke-Ufer ist die nächste Parallelstraße...,,"NUR TAUSCH --- SWAP ONLY!

Hey!

Ich biete meine traumhafte DG-Wohnung unweit des Paul-Linke-Ufers zum Tausch an. Die Wohnung ist sehr hell, hat zwei Balkone (einer davon Süd-Seite), eine offene Dusche + Badewanne, Fußbodenheizung, Oberlichter in allen Räumen, einen Kamin und direkt gegenüber den LPG Biomarkt... Die Wohnung ist genial als Single oder Paar zu bewohnen. 

Ich suche:- Ne Wohnung in Mitte / Prenzlauer Berg- 70-120 qm- am liebsten auch Dachgeschoss + Balkon (bevorzugt so ähnlich wie meine jetzige Wohnung)

Freue mich über Nachrichten.
LG,
Moritz",0,0,52.496830,13.426517,1,1,2,1,,,,,,,,1000,,0,0,0,160,2,6386314,,,1,1,0,,,,,,10999,12.5,5,,0,1,,0,0,Tausch: Traum-Wohnung nähe Paul-Linke-Ufer gegen Wohnung in Mitte / Prenzlauer Berg,1,,1160,0
Mainzer Str,14,0,2020-08-01,0000-00-00,0,1,0,1,,0,0,1,0,,,,,,1,1,1,,,"Hi,

I am renting one room in two room flat for long term from the end of July. Anmeldung is possible. The flat is located in Neukölln between Boddinstrasse (U8) and Rathaus-Neukölln (U7).

Monthly rent - 560€ (all included).
The deposit - 800€.

The apartment consists of:
One nice sized fully furnished kitchen and a bathroom. There is washing machine, dryer, dishwasher, internet and everything you may need for living.

Your room is 14 sqm. It includes furniture, which you can see in the picture.

Drop me couple of sentences about you and feel free to ask for more information placeholder_ad_text_email or just here ;)",0,0,52.478181,13.428763,0,0,0,0,,,,,,,,510,800,0,0,0,50,2,8061266,,,0,0,0,,,,,,12053,36.42857142857143,5,,1,0,,0,0,Room long term in Neukölln WG,0,,560,1
Bayernring 33,38,0,2020-08-01,0000-00-00,1,0,1,1,,0,1,0,1,,,,,,2,2,0,"Die nächste Bushaltestelle sowie die U6 Haltestelle ""Platz der Luftbrücke"" sind nur 3 Gehminuten entfernt. Direkt vor dem Apartmentgebäude finden Sie viele Geschäfte, Cafés und Restaurants. Parken an der Straße ist leicht zu finden. Das pulsierende Bergmankiez erreichen Sie zu Fuß in 7 bis 8 Minuten.

The nearest bus-stop as well as Ubahn stop ""Platz der Luftbrücke"" is only 3 min by foot. There are many shops, cafes and restaurants right outside the apartment building. Street parking is easy to find. The pulsating Bergmankiez can be reached 7-8min on foot.","Bei Interesse schreiben Sie eine E-Mail mit voraussichtlicher Mietdauer und stellen Sie sich vor.

Für Interessenten mit fester Beschäftigung müssen es die letzten drei Gehaltszettel und ein Arbeitgebernachweis (Beschäftigungsnachweis) vorgelegt werden.Für alle anderen bräuchten einen Garanten wir mit fester Beschäftigung.

Please write me an email and introduce yourself. Explaining your source of income, aimed rental period.

For those with permanent employment, the last three pay slips and an employer proof (proof of employment) must be presented. For all others, we would you to  have a Guarantor with a permanent employment to co-sign the rental agreement.","Wunderschön renovierte Wohnung mit hochwertigen Materialien. Die Wohnung würde teilmöbliert vermietet. Es gibt einen großen Kellerraum, so dass auf Wunsch einige Möbel zur Aufbewahrung gebracht werden können.. Die Wohnung ist nach Westen ausgerichtet mit einem großen Balkon mit Blick auf einen ruhigen Garten. Einbauküche mit Induktionsherd und kleinem Ofen. Geschmackvoll renoviertes Badezimmer mit schönen Fliesen und Duschkabine. Eine brandneue Waschmaschine befindet sich ebenfalls im Badezimmer. Gepflegtes Gebäude mit freundlichen Nachbarn, die meistens ihre Wohnungen besitzen.

Beautifully renovated apartment with high quality materials. The apartment will be rented partly furnished. There is a big cellar room so if desired some of the furniture might be moved to storage. The apartment is west facing with a large balcony overlooking a quiet garden. Built in Kitchen with induction top, microwave and a small oven. Tastefully renovated bathroom with beatiful tiles and shower cabin. Brand new laundry maschine is also located in the bathroom. Well kept building with friendly neighbors who mostly own their apartments.",0,0,52.482969,13.379534,3,0,2,1,,,,,,,,590,1500,1,0,0,190,1,6735099,,,1,1,0,,,,,,10965,15.526315789473685,4,,1,1,,0,0,Schöne 1 Zimmer Wohnung mit EBK und Balkon - Pl der Luftbrücke - unbefristed!,0,,780,1
Wilmersdorfer Straße,70,0,2018-08-01,0000-00-00,1,1,0,0,,0,0,0,0,,,,,,1,4,1,"Dieses schöne Apartment liegt in direkter Nähe zwischen Kurfürstendamm und dem Schloss Charlottenburg in einer der besten Wohngegenden Berlins.
Restaurants, Bars und Boutiquen prägen das Flair der Umgebung.
Den Kurfürstendamm mit seinen zahlreichen Einkaufsmöglichkeiten und kulturellen Angeboten erreichen Sie in nur wenigen Minuten zu Fuß.
Viele namenhafte Theater, die Deutsche Oper, die Staatsoper Berlin und zahlreiche Galerien sind in der Nähe.
Das öffentliche Verkehrsnetz mit U-Bahn (Bismarkstr) , Bus, sowie der S-Bahnhof Charlottenburg, ist in wenigen Schritten zu erreichen.
Die Stadtautobahn ist nur wenige Kilometer entfernt – eine sehr gute Anbindung an die Berliner Flughäfen ist somit ebenfalls gegeben.
Das Messegelände ist in 10 Minuten mit dem Auto oder dem Bus zu erreichen.","Warmmiete 1250 € monatlich, inkl. Möblierung, Internet, Strom und TV

Kaution: Ist verhandelbar
Endreinigung: 180€

Anmietung:
•	Kopie des Personalausweises
•	Nachweis einer laufenden Haftpflichtversicherung
•	3 Gehaltsnachweise (bei Selbstständigen BWA)
•	Kein Jobcenter, keine Bürgschaft


HAUSREGELN:
Haustiere sind nicht erlaubt


BILDER AUF ANFRAGE","Helles 70qm großes Altbau- Apartment in direkter Lage zwischen Kurfürstendamm und Schloss Charlottenburg.

Aus beruflichen Gründen werde ich mich nicht in Berlin aufhalten und suche daher für mein hochwertig eingerichtetes Altbau-Apartment ein(e) Untermieter(in) oder Pärchen.
Die Mindestmietdauer beträgt 3 Monate.
Gerne auch permanente Untermiete! 
Die Wohnung liegt im Vorderhaus eines schönes Berliner Altbaus.


AUSSTATTUNG:

•	kostenfreies W-Lan
•	Klingel und Briefkasten vorhanden
•	Fahrradständer auf dem Hof
•	Einbauküche mit Ceranherd, Ofen, Waffeleisen, Wasserkocher, Kühlschrank mit Gefrierfach, Toaster, sämtliches Geschirr- und Kochzubehör sowie Besteck
•	Sitzgelegenheit in der Küche
•	Wannenbad mit Lichtfenster
•	Handtücher
•	Bett inkl. Bett-Topping,
•	2 Bettdecken und Kissen
•	Bettwäsche, Bettlaken
•	großer LED-Fernseher mit Apple-TV
•	Sitzgelegenheit mit Sofa und Beistelltisch
•	Große Fensterfront mit Erker im Wohnbereich
•	3,40 m Deckenhöhe
• französischer Balkon
•	riesen Kleiderschrank zur Nutzung
•	Waschmaschine
•	Wäscheständer
•	Bügelbrett+ Bügeleisen",1,0,52.514753,13.304835,0,0,0,0,,,,,,,,1250,2500,0,0,0,150,2,7022225,,,0,0,0,,,,,,10585,17.857142857142858,3,,0,0,,0,0,funished sunny central- modernes Apartment in Bestlage,0,,1400,1
Krüllsstr.,54,0,2020-06-20,2018-11-18,1,1,1,0,,0,1,0,0,,,,,,1,4,0,,,"FLATSWAP / WOHNUNGSTAUSCH IN ALT TREPTOW

Wegen Familienzuwachs brauchen wir eine größere Wohnung. Deshalb bieten wir unsere schöne Altbau Wohnung mit Parkett, Badewanne & Südost-Balkon in Alt Treptow zum Tausch gegen eine größere Wohnung. Die Wohnung liegt in einer ruhigen Paralellstr zum Landwehrkanal. 

Weil wir sehr gerne hier leben, suchen wir eine Wohnung in der Nähe - also ebenfalls Alt Treptow. Angrenzende Bereiche von Kreuzberg oder Neukölln sind auch ok. Eine Wohnung mit Balkon auf den die Sonne scheint, Garten mitnutzung o. ä. wäre natürlich toll.

ENGLISH:
We need a bigger flat because we got a child. Due to that we offer our beautiful 2 room flat in Alt Treptow for swap. We would like to stay in the neighbourhood.",0,0,52.491623,13.446697,0,0,2,1,,,,,,,,452,,1,0,0,150,2,3787737,,,0,1,0,,,,,,12435,8.37037037037037,4,,0,0,,0,0,Tausch in Alt Treptow: ruhige 2 Zimmer Wohnung mit Balkon gegen mind 3 Zimmer,0,,602,0
Pintschstrasse,57,0,2020-07-01,0000-00-00,1,1,0,0,,0,1,1,0,,,,,,2,4,0,"The apartment is close to Petersburger Platz, the wonderfull Friedrichshain Volkspark is 5min walk, Frankfurter Tor (U5) is 2 tram stops away or 10min by walk. Also in walking distance you can find parks, pharmacy, all kinds of healthcare in Ärztehaus Petersburger Platz, playground, restaurants, netto, edeka, rewe, M10, M8, M6.

check the area here:
https://goo.gl/maps/Nwg1SxBxKztra5Aa7",,"We are looking for renting one or two 1-1,5 room apartments for long term, up to about 500-600eur warm miete. Preferably inside of the ring.
(Let me know if you have only one apartment as well as in case two of you are looking to moving together and offering two apartments for rent.)

The apartment I am offering:- bedroom, sunny in the mornings- one smaller room (for example for kids or as work room/""büro"")- bad, with tub- living room- kitchen- big balcony looking to the street side, sunny on the afternoons
- sunny apartment on a quiet street, on the 3rd floor, ca.60qm.- New built, we were the first after renovation, living here for two years now. Brand new kitchen equipment, bad and floor.- Kalt miete is 970, warm miete is 1100eur (might change with a new contract, depending on the Hausverwaltung, we payed 2800eur deposit, but were able to pay it in installments, not at once) + electricity and internet around 70 eur


let me know if you have any questions!",0,0,52.521980,13.449044,1,0,2,1,,,,,,,,970,2800,0,0,0,130,3,8063552,,,0,0,1,,,,,,10249,17.017543859649123,3,,1,0,,0,0,TAUSCH oder NACHMIETER gesucht - 3 room apartment in F'shain,0,,1100,1
Schillerpromenade,50,0,2020-07-03,0000-00-00,1,1,1,1,,0,1,1,0,,,,,,2,4,0,"Die Lage ist aufgrund der guten S-Bahn-Verbindung (Berlin Schöneweide) und des neuen Flughafens (BER ab Oktober) sehr praktisch, da alle wichtigen Linien dort durchfahren. Für diejenigen, die gerne alternativ ausgehen folgt in wenigen Fahrrad-Minuten der Bezirk Neukölln...","Bei Interesse schreibe eine möglichst ausführliche Mail mit Angabe von Telefonnummer und persönlichen Daten. (Beruf, Alter, Grund des Umzugs...). Damit sichergestellt ist, dass du diese Anzeige auch tatsächlich gelesen und verstanden hast, beginne deine Anfrage mit ""Hallo Berlin"".

Hier noch einmal die Kosten - 564,- kalt + ca. 120,- Betriebskosten + ca. 80,- für Gas und Strom

Internet und GEZ sind selbstständig anzumelden..","Vorweg: im Haus möchten wir die Mieterstruktur etwas verjüngen und würden uns jemanden unter 35 Jahren wünschen, männlich und im Idealfall mit einem technischen Beruf. Schreibe uns bitte auf deutsch....

Die Wohnung liegt in der 1. Etage. Es gibt eine eingebaute Küche, welche im Mietpreis  enthalten ist. Außerdem gibt es einen Balkon und einen schönen Gemeinschaftsgarten.",0,0,52.463082,13.517808,3,0,2,2,,,,,,,,564,,1,0,0,120,1,7921144,,,1,1,1,,,,,,12459,11.28,1,,1,1,,0,1,Ein Zuhause für Dich?,0,,764,0
