address,area,attic,available_from_date,available_to_date,balcony,bath,bath_availability,bike_cellar,cable_tv,carpet,cellar,dishwasher,elevator,energy_building_year,energy_certificate_type,energy_consumption,energy_efficiency_class,energy_source,flatmates_aged_from,flatmates_aged_to,flatshare_friendly,floor_level,floorboards,freetext_area_description,freetext_other,freetext_property_description,furnished,garden,geo_latitude,geo_longitude,green_energy,guest_toilet,handicap_accessible,heating,image,internet_dsl,internet_dsl_speed,internet_flatrate,internet_provider_change,internet_wlan,kaltmiete,kaution,kitchen_availability,laminate,languages,linoleum,nebenkosten,num_rooms,offer_id,offer_in_exchange,online_tour,parking_option,parquet,partly_furnished,pets_allowed,phone_analog,phone_flatrate,phone_isdn,phone_voip,postcode,public_transport_in_minutes,satellite_tv,shared_garden,shower,smoking_is_allowed,terrace,tiles,title,underfloor_heating,url,warmmiete,washing_machine
Gontermannstr.,40,1,2020-08-01,0000-00-00,0,0,1,1,,0,1,0,0,1900,,0,,,,,2,4,0,"Direkte Laufnähe zum Bahnhof Südkreuz, mitten in Berlin, aber dennoch sehr ruhig und grün. 

Gute Einkaufmöglichkeiten, 5 Minuten Fussweg zur S-Bahn und zum Bahnhof Südkreuz. Ikea in 10 Minuten zu Fuss zu erreichen. Man kann für einen kurzen oder auch für längere Zeit mieten. Gerne gesehen sind ordentliche, solvente Studenten, Praktikanten, Sprachstudenten oder Berufstätige, auch aus dem Ausland.

An ideal location to visit Berlin ! Very central and at the same time not a tourist area (5 min Mainstation Südkreuz by feed 10 min from Potsdamer Platz, Brandenburger Tor and Kreuzberg by subway or bike). In addition you are in 10 min by feed in the new Tempelhofer Park the former central airport area. The apartment is part of the quiet and convenient settlement area Fliegersiedlung of the beginning XXth century. 

Until 08.2020 we have renovated it totally new; it lies in the 3th floor with one bedroom and a living room (TV , Cable TV, Computer for Internet access), a new modern bathroom, floor, kitchenpart and garden..","Den Besitz einer Privaten Haftpflichtversicherung, Schufa-Auszug, Bürgschaft oder Arbeitsnachweis setzen wir voraus. Die Wohnung ist sehr für Studenten oder Berufstätige geeignet, die zentral wohnen möchten, in Ruhe studieren möchten, aber nachts dennoch gut und ruhig schlafen möchten. 

Zudem erhoffen wir uns einen Mieter, der mit der neu sanierten, hochwertigen Ausstattung gebührend umgehen kann. Wir freuen uns über eure Zuschriften oder einen Anruf. 

Wir erwarten, dass Sie sich selbst finanzieren können oder die Eltern die Miete übernehmen. 

Bitte Kontakt per Mail aufnehmen.

Hinweis zu den aktuellen Bildern: die Wohnung ist noch in der Sanierungsphase, wird aber in dem Stil der abgebildeten Bilder ausgebaut. Es wird aber anstelle der Holzielen ein Parkettboden aufgebaut.","Suchen Mitbewohner/in oder auch ein Paar für möblierte, helle, neu renovierte, sehr zentrale Zweizimmer-Altbauwohnung in ruhiger Seitenstrasse am Bahnhof Südkreuz, mitten in Berlin, im sogenannten Fliegerviertel. Der riesige, sehr beliebte Tempelhofer Park (ehemals Tempelhofer Flughafen) ist in Laufdistanz. Der Kreuzberg und die Kreuzberger Szeneviertel wie die Bergmannstrasse sind auf der einen Seite des historisch gewachsenen Wohnviertels, auf der anderen Seite, verbunden über einen Park ist die Schöneberger Insel mit dem bekannten Gasometer.

Die Wohnung ist ganz neu saniert und ab August 2020 im Erstbezug zu vermieten. Es handelt sich um eine Zwei-Zimmer- Wohnung mit seperatem Eingang. 

Ein hochwertiger Pakettboden liegt in der gesamten Wohnung aus. Das Bad ist aus Naturstein konstruiert und hat eine ebenerdige Duschtrasse. In dem grossen, hellen Flur ist eine neue Kochnische  integriert. Das Schlafzimmer ist mit einem Doppelbett in Form eines Podest ausgestattet. Das grössere beider Zimmer ist durch eine Glastür vom Rest der Wohnung abgetrennt (welche nur wenige Male im Jahr vom Vermieter genutzt wird) und lässt so von beiden Seiten Licht in das Wohn/Arbeitszimmer.  Somit hat man auch einen schönen Blick auf die Klinkerwand. Man kann diese Tür natürlich auch abhängen. 
Alle Zimmer sind teils im Vintage-Style, teils modern möbliert. Ein grosser Holzschreibtisch mit Schnitzerein passen gut zu den Kastenfenstern und den Holztüren. 
Eine  Waschmaschine kann mitbenutzt werden. Ein grosser, parkähnlicher Garten ist hinter dem Haus und lädt zum Sonnenbaden ein. Ein Keller und auch ein Dachboden kann mitbenutzt werden. Ein überdachter Fahrradständer gehört auch zum Haus. 

Man bewohnt somit eine möblierte, neue, hochwertig sanierte, luxuriöse, voll ausgestattete Wohnung. Bettwäsche, Handtücher, Küchenequipment etc. wird alles zur Verfügung gestellt. 

In der Miete sind alle Nebenkosten, die man normalerweise noch extra zahlen muss, inklusive. Alle  Nebenkosten und Zusatzkosten wie Wlan-Kosten, Waschmaschiennutzung, GEZ-Gebühren, Cable-Kosten, Hausratversicherung, Gas, Wasser, Strompauschale, Müllentsorgung, Hauswart, Hausgeld und sogar die Kosten für die  regelmässige Reinigung der Wohnung  ist in der Miete schon enthalten. Bei Auszug kommen auch keine Renovierungskosten oder Renovierungsarbeiten, sondern nur die Endreiniungskosten auf den Mieter zu. 

Prinzipiell ist die Wohnung auch für ein Paar geeignet, dann erhöht sich die Miete aber um 150 Euro.",1,1,52.477300,13.371337,3,0,2,2,,,,,,,565,1000,1,0,,0,250,2,3914550,,,1,1,1,,,,,,12101,3,,1,1,,0,1,"Hochwertige, top sanierte, möblierte, zentrale, ruhige Wohnung am Tempelhofer Feld/Kreuzberg/Schöneberg-Nähe:",0,,950,1
Pintschstraße,57,0,2020-07-15,0000-00-00,1,1,0,0,,0,1,1,0,,,,,,,,2,6,0,,,"ONLY SWAP- Please read everything :)
Hi all,

We are looking for a possibility to swap our beautiful apartment.
The furnished apartment is on the fifth floor has 2 bedrooms (7,5m2 and 12m2) a living room, small closet (washmachine), kitchen and a balcony(with an electric Grill). The bedrooms faces the inner courtyard so it is very quiet.

Each room comes with a double bed and in the living room has a sofa, a dinner table with 5 chairs a beautiful rack for TV and cabinet.
WGs unfortunately are not allowed.

The rent is €1350 with all the expenses (water, energie, WLAN included)
Anmeldung possible.

The apartment is very well connected to Tram M10/M8/M6 less than 5 minutes walk and one stop away from S-Bahn Ring (Landsberger Alle)

We are looking for:
3-2-1 rooms Wohnung  OR a big Room in a cool WG :)
Kreuzberg/Friedrichshain/Neukölln/Tempelhof/Schönenberg
Possibility for 2 Anmeldungen.
Max € 1100 warm

Any other questions please write me for more details.

Thank you!",0,0,52.521980,13.449044,0,0,2,1,,,,,,,1350,1350,0,0,,0,0,3,8049443,,,1,0,1,,,,,,10249,3,,0,1,,0,0,"NUR TAUSCH/ONLY SWAP - Tausche 3-Zi-Wohnung 57 m2 für 1-Zi / 2-Zi oder groß WG Zimmer (Fhain, Neukölln, Schönenberg,Tempelhof)",0,,1350,1
Steinmetzstr. 45,45,0,2020-07-01,0000-00-00,1,1,0,0,,0,0,1,0,,2,141,,4,,,1,4,0,"Die Wohnung liegt in einer grünen, ruhigen Straße im lebhaften Schöneberg. Die Wohnung befindet sich zwischen dem Kleistpark und der Yorckstraße.

Es gibt eine hervorragende Anbindung an das öffentliche Verkehrssystem und man erreicht innerhalb von 1-2 Minuten zu Fuß die Buslinien M48, M85, 106, 187 und 204 oder den U-Bahnhof Kleistpark oder S und U-Bhf. Yorckstr.  U7, S1, S2 und S25), die Sie innerhalb von 15 Minuten zu den Hot Spots für Shopping, Unterhaltung oder Sightseeing entlang des Ku'damm oder Berlin-Mitte bringen.

The apartment is situated in a green, quiet street in the lively Schöneberg. The apartment is located between the Kleistpark and Yorckstraße.

The place is excellently connected to the public transport system and within 1-2 minutes walking distance you reach i.e. the Bus M48, M85, 106, 187 and 204 or U-Bahnhof Kleistpark or S / U-Bhf. Yorckstr.  U7, S1, S2 and S25) which take you within 15 minutes to the hot spots for shopping, entertaining or sightseeing along the Ku’damm or Berlin-Mitte.","WENN SIE MICH TELEFONISCH KONTAKTIEREN, HINTERLASSEN SIE BITTE EINE NACHRICHT AUF DER MAILBOX.

Nur an Nichtraucher.


IF YOU CALL ME, PLEASE LET A MESSAGE ON MY MAILBOX!

Smoking is not allowed in the apartment.","Gemütlich, aber sehr praktisch eingerichtete, helle und ruhige 2-Zimmer-Wohnung, die mit allem ausgestattet ist, was man für ein komfortables Wohnen benötigt:

Eine gemütliche Couch, ein kleiner Hocker, einem Lowboard,ein Flachbildfernseher, Esstisch / Schreibtisch mit zwei Stühle. Im anderen Zimmer befindet sich ein großes Bett, ein Kleiderschrank und ein kleiner Beistelltisch.

Das Badezimmer verfügt über eine Badewanne und ist mit einer Waschmaschine ausgestattet.

Die voll eingerichtete Küche verfügt über einen Geschirrspüler, eine vollständige Ausstattung mit passendem Geschirr und Küchenutensilien.

Telefon/Internet ist verfügbar, jedoch noch nicht freigeschaltet.

Das Apartment ist ideal für 1 -2 Personen (aber max 2 Personen).

Cosy but very convinient furnished, bright and quiet 2 room apartment which has everthing for a comfortable living, including:

A comfortable couch, a small stool, a lowboard, shelf with a flat screen TV, dining table / desk with two chairs.
In the other romme you find a big bed a wardrobe and a small table.

The bathroom with bathtub is equipped with a washing machine.

The fully equipped kitchen has a complete equipment with dishes and kitchen utensils and a dishwasher.

Telephone/internet is available, but not activated
It is ideal for 1 people (but max 2 people).

Ausstattung:

Wohnzimmer:- Gemütliche Couch- Kleiner Hocker- Kommode- Ess- / Schreibtisch- 2 Stühle- Flatscreen TV- Beistelltisch

Schalfzimmer:- Großes Bett- Kleiderschrank- Beistelltisch

Flur:- Großer Einbauschrank- Spiegel- Kommode

Badezimmer:- Badewanne- WC- Waschbecken- Spiegel- Waschmaschine

Küche:- Mikrowelle- Kühlschrank mit Gefrierfach- Spülmaschine- Kaffeemaschine- Wasserkocher- Vollständige Ausstattung mit passendem Geschirr und Küchenutensilien

Living room:- Comfortable Couch- Small Stool- Commode- Dining / writing table- 2 chairs- Flatscreen TV- Sidetable

Sleeping room:- Big bed- Wardrobe
-Sidetable

Corridor:- Big built-in wardrobe- Mirror- Commode

Kitchen:- microwave- Fridge with freezer- Dishwasher- Coffee machine- Water heater- Complete equipment with matching dishes and kitchen utensils

Bathroom:- bathtub- WC- Washbasin- Mirror- Washing machine",1,0,52.492550,13.362630,0,0,2,0,,,,,,,910,1500,0,1,,0,110,2,5735782,,,0,0,0,,,,,,10783,0,,0,0,,0,0,Wonderful furnished flat near U-Bhf. Kleistpark,0,,1080,1
Strelitzer Str 59,37,0,2020-07-01,0000-00-00,0,0,0,0,,0,0,0,0,1918,2,,2,7,,,2,4,0,"Location:
2 min. to U8 Bernauer. Peaceful, centrally located neighborhood. Street situated between the localities of Gesundbrunnen and Mitte. Walking distance to Mauerpark and Nordbahnhof.","It has been my favorite place to live in Berlin. Lovely neighbors, polite and responsive leasing agency, and 
The street has a nice view of the TV tower. 

What I am looking for:
A 1 to 2 room apartment from 50m2, preferably with a balcony and bathtub in Neukölln, Kreuzberg, Kreuzkölln, Schöneberg. I have lived in the North for my entire duration in Berlin, and I would like to see how it is living in the south. 

If you have something that fits this description (and pictures), please feel free to write me.

Please only serious exchange offers.

Greetings Jelisa M","Hello,
What I offer:

A recently renovated studio apartment with 37m2 in the heart of Mitte (Bernauer Str). 

The apartment is in a super condition, non-smoking and very bright (see pictures). It is located in a quiet, friendly, family-friendly building and only a few minutes walk from Rewe, Mauerpark, Nordbahnhof, and many bus/line connections.

Apartment info:- 3rd floor- 37 qm- Two blocks from U8 Bernauer Str. stop, M10, M8, M12, S1, and S2- Semi- furnished: with couch and additional home accessories available for sale to complete furnishings- Clean, new appliances, great sunlight- Quiet beautiful street- Courtyard and TV tower view

The cold rent is € 663 p/m.",0,0,52.535740,13.394482,2,0,2,1,,,,,,,663,1989,1,0,,0,50,1,8054514,,,4,1,1,,,,,,10115,2,,0,1,,0,0,TAUSCH: 1 Zimmer Wohnung im Mitte gegen 1.5 - 2 Zimmer Wohnung im Kreuzkölln,0,,733,1
Florastr.,60,1,2020-06-19,0000-00-00,1,1,0,1,,0,1,0,0,,,,,,,,1,2,0,,,"Wir suchen Nachmieter für unsere charmante 2-Zimmer Wohnung. Sie befindet sich im ersten Stock eins historischen Gebäudes aus den 1930er Jahren, ca. 60 m², mit 2 hellen, separaten Zimmern und einem Balkon - perfekt als WG oder für Paare.
Sie liegt direkt zwischen Prenzlauer Berg und Pankow und bietet eine hervorragende Verkehrsanbindung: Ein kurzer Spaziergang zur U-Bahn und S-Bahn und 10 Minuten Direktverbindung zum Alexanderplatz und zur Friedrichstr. jeweils; ebenfalls in 10 min. ist die Schönhauser Allee zu Fuß erreichbar. Die Wohnung liegt in einer ruhigen Seitenstraße in
einer grünen Umgebung. Sehr gute Einkaufsmöglichkeiten mit mehreren Supermärkten und einigen charmanten Geschäften in der Nähe. Sie wurde im 2019 komplett renoviert. 
Die Wohnung ist voll möbliert, hat WiFi, eine Waschmaschine, Badewanne; Balkon. Die Küche ist komplett ausgestattet.

Die Wohnung ist ab Juni/Juli langfristig verfügbar. Wir freuen uns, von Ihnen zu hören und eine (online) Besichtigung der Wohnung zu organisieren.",1,0,52.525669,13.626917,0,0,2,0,,,,,,,1100,,1,0,,0,,2,8040922,,,0,0,0,,,,,,13178,3,,1,0,,0,0,Ruhige 2-Zimmer-Wohnung mit Berliner Charme,0,,1100,1
Friedrich-Engels-Str. 176,78,0,2020-06-20,0000-00-00,1,0,0,0,,1,0,1,0,1970,1,98,2,4,,,1,1,0,"Die Wohnung befindet sich im Pankow Rosenthal. Vor der Tür hält die Tram und gegenüber ist der REWE. NIcht weit ist auch eine Bushaltestelle, die direkt zu S Bahn Wilhelmsruh führt. Es ist eine ruhige Gegend und sehr kinder/familienfreundlich. 

Die Immobilie verfügt über einen großen und gepflegten Garten, dieser kann mitbenutzt werden. Ab September ziehen wir auch in das Haus und bewohnen dann die Wohnung im 2.OG. Wir haben einen 2 jährigen Sohn und wünschen uns eine Familie mit Kind/er als Mieter/Nachbarn, damit die Kinder gemeinsam spielen. Mieter, deren Kosten von jeglichen Ämtern getragen werden, sind unerwünscht. Studenten oder junge berufstätige Paare auch gerne. Wenn noch Fragen sind, bitte schriebt mich an. You can contact me also in English.","Der Garten kann mitbenutzt werden. Ab September ziehen wir auch in das Haus und bewohnen dann die Wohnung im 1. OG. Wir haben einen fast 2 jährigen Sohn und wünschen uns eine Familie mit Kind/er als Mieter/Nachbarn, damit die Kinder gemeinsam spielen. Mieter, deren Kosten von jeglichen Ämtern getragen werden, sind unerwünscht. Studenten oder junge berufstätige Paare auch gerne. Wenn noch Fragen sind, bitte schreibt mich an.

This 3 room apartment is located in Pankow Rosanthal. There is a REWE Supermarket just some meters from the house and the tram stops in front of the house. The kitchen is fully equiped. The one bedroom also, the other one is empty and can be equieped as office, guest room ot a kids room. The bathroom has a window and the ohne of the rooms a nice balcony. There is aparking slot for that apartment. 

We are going to move to the apartment in the second floor in September and we have a 2 years old son who whish to have a buddy as neighbour :) The apramenrt can be rented from studentst/young couples. We do not accept any tenant who get the rent payed from an authority.","For English see bellow.
Die Wohnung befindet sich im Pankow Rosenthal. Vor der Tür hält die Tram und gegenüber ist der REWE. Das große Schlafzimmer ist möbliert. Die Couchgarnitur für das Wohnzimmer ist in der Nebenwohnung und wird vor dem Einzug dahin gebracht, das gilt auch für den Fernseher. Wenn eigenen Möbel gebracht werden ist auch kein Problem. Das kleinere Zimmer ist derzeit leer, kann als Büro, Gäste- oder Kinderzimmer genutzt werden. Die EBK ist voll ausgestattet, es gibt einen Stellplatz zu der Wohnung und das Bad hat eigenes Fenster. Über das eine Zimmer erreicht man einen süßen Balkon. Kein Durchgangzimmer.

Der Garten kann mitbenutzt werden. Ab September ziehen wir auch in das Haus und bewohnen dann die Wohnung im 1. OG. Wir haben einen fast 2 jährigen Sohn und wünschen uns eine Familie mit Kind/er als Mieter/Nachbarn, damit die Kinder gemeinsam spielen. Mieter, deren Kosten von jeglichen Ämtern getragen werden, sind unerwünscht. Studenten oder junge berufstätige Paare auch gerne. Wenn noch Fragen sind, bitte schreibt mich an.

This 3 room apartment is located in Pankow Rosanthal. There is a REWE Supermarket just some meters from the house and the tram stops in front of the house. The kitchen is fully equiped. The one bedroom also, the other one is empty and can be equieped as office, guest room ot a kids room. The bathroom has a window and the ohne of the rooms a nice balcony. There is aparking slot for that apartment. 

We are going to move to the apartment in the second floor in September and we have a 2 years old son who whish to have a buddy as neighbour :) The apramenrt can be rented from studentst/young couples. We do not accept any tenant who get the rent payed from an authority.",1,0,52.595540,13.379896,1,0,2,2,,,,,,,1400,2400,0,0,,0,200,3,8029753,,,4,0,0,,,,,,13158,1,,1,1,,0,0,3 Zi Whg EBK Tageslichtbad Stellplatz möbliert mit Anmeldung,0,,1600,1
Karlstr.,66,0,2020-06-17,0000-00-00,0,1,0,1,,1,1,1,0,,,,,6,,,1,6,0,"Das Wohnhaus ist in einer ruhigen Seitenstraße, dicht an dem Fluss Dahme gelegen. In der Winterzeit hat man Blick auf das Wasser. Es gibt keinen Durchgangsverkehr. Zu Fuß erreicht man in 1 min das Dahmeufer, in 3 min die nächstgelegene Straßenbahnhaltestelle, und in 5min den nächsten Supermarkt. Zur Altstadt Köpenick läuft man durch das idyllische Fischerkiez ca. 10min. Der Schlosspark Köpenick mit dem bekannten Schloss lädt immer zum verweilen ein und kann gut den fehlenden Balkon ersetzen. Das Allende-Center mit weiteren Einkaufsmöglichkeiten, Post, Drogerie etc. sind ebenfalls in 10 min zu erreichen. Man ist in nur wenigen Fahrradminuten im Grünen in den Müggelbergen oder am großen Müggelsee zum Baden. Das Forum Köpenick mit dem S-Bahnhof Köpenick sind ebenfalls schnell zu erreichen.","Die gut erhaltene und zeitlose Einbauküche mit Geschirrspüler soll gegen einen geringen Abstand mit übernommen werden. Ein Einbauherd ist nicht vorhanden, es ist aber Platz für einen Herd an der Küchenzeile.
Ebenso können die Laminatfußböden und die farblichen Wandgestaltungen in der Wohnung übernommen werden, die aber ein paar Schönheitsreparaturen benötigen. Weiterhin würden wir Dachfenster-Plissees, Jalousien und ggf. Badmöbel bei Gefallen überlassen. Wir sind die derzeitigen Mieter dieser Wohnung und wollen unserer Vermietung, der Degewo, einen Nachmieter anbieten. Lt. Degewo müssen mind. 2 Mieter, aber max. 3 Personen einziehen und das dreifache Nettoeinkommen der derzeitigen Miete erhalten, also mind. ca. 1.550 €.",Die Wohnung befindet sich im Dachgeschoss in der 5. Etage (oberste Etage). Von einem großzügigen Flur ausgehend gelangt man in die 3 Zimmer und in das Bad. Die Küche ist nur zum Wohnzimmer offen.,0,0,52.442195,13.579681,0,0,2,1,,,,,,,355,995,1,1,,1,150,3,8052506,,,1,0,1,,,,,,12557,3,,0,0,,0,0,Schöne helle Dachgeschosswohnung in Berlin Köpenick in unmittelbarer Wassernähe mit Einbauküche,0,,505,0
Reichenbergerstr 144,80,0,2020-06-17,0000-00-00,1,1,0,1,,0,0,1,0,,,,,,,,2,6,0,Top Verkehrsanbindung. U-8 / U-1 direkt um's Eck. Görlitzer Park 5 Min zu Fuß. Kotti auch 5 Min. LPG Bio-Markt 50 Meter direkt gegenüber. Paul-Linke-Ufer ist die nächste Parallelstraße...,,"NUR TAUSCH --- SWAP ONLY!

Hey!

Ich biete meine traumhafte DG-Wohnung unweit des Paul-Linke-Ufers zum Tausch an. Die Wohnung ist sehr hell, hat zwei Balkone (einer davon Süd-Seite), eine offene Dusche + Badewanne, Fußbodenheizung, Oberlichter in allen Räumen, einen Kamin und direkt gegenüber den LPG Biomarkt... Die Wohnung ist genial als Single oder Paar zu bewohnen. 

Ich suche:- Ne Wohnung in Mitte / Prenzlauer Berg- 70-120 qm- am liebsten auch Dachgeschoss + Balkon (bevorzugt so ähnlich wie meine jetzige Wohnung)

Freue mich über Nachrichten.
LG,
Moritz",0,0,52.496830,13.426517,1,1,2,1,,,,,,,1000,,0,0,,0,160,2,6386314,,,1,1,0,,,,,,10999,5,,0,1,,0,0,Tausch: Traum-Wohnung nähe Paul-Linke-Ufer gegen Wohnung in Mitte / Prenzlauer Berg,1,,1160,0
Britzer Damm 41,70,0,2020-08-01,0000-00-00,1,1,0,0,,0,0,1,0,,2,,3,7,,,1,6,0,"Die Verkehrsanbindung ist durch die nähe zur Hermannstraße (U8 und Ringbahn) wie zur Grenzallee (U7) sehr gut. 2 Minuten von der Haustür entfernt befindet sich die Bushaltestelle des M44, der in die eine Richtung zur Hermannstraße, in die andere weiter ins beschauliche Britz führt.
Einkaufsmöglichkeiten (EDEKA, Penny, Rossmann, Tanke) sind innerhalb weniger Minuten erreichbar.
In 3 Minuten Fußweg erreicht man den Teltowkanal, an dem entlang man wunderbar spazieren, joggen oder verweilen kann.",,"Hallo!
Ich biete eine 3-Zimmer Wohnung am Britzer Damm, nahe Hermannstraße, zum Tausch an. Die Wohnung besteht aus 3 Zimmern, eins davon ca. 19qm, das zweite ca. 13qm und das dritte ca. 9qm. Sie verfügt über eine Einbauküche, Bad mit Badewanne und einen sehr schönen Dachgeschossbalkon. Einkaufsmöglichkeiten 5 Minuten entfernt, zum U-Bahnhof Hermannstraße (U8) sind es ca. 10 Minuten, zum Bahnhof Grenzallee (U7) ca. 15. Die Warmmiete beträgt 806 Euro, die Hausverwaltung ist direkt nebenan und verhält sich sehr großzügig :)

Wir sind alle drei Studenten am Ende unseres Bachelors und sind auf der Suche nach einer etwas größeren Wohnung ab ca. 80 qm, 3-4 Zimmer. Gerne in den Bezirken Friedrichshain, Kreuzberg, Neukölln, Schöneberg, Lichtenberg, Prenzlauer Berg oder Alt-Treptow. Bei 3-Zimmern sollte die Warmmiete nicht über 1400 Euro liegen, bei 4 Zimmern dementsprechend bei nicht mehr als 1800.
Falls ihr eine passende Wohnung habt kontaktiert mich gerne, falls sonst noch irgendwelche Fragen bestehen auch :)",0,0,52.459522,13.435886,1,0,2,1,,,,,,,700,1400,1,1,,0,106,3,8056994,,,3,0,0,,,,,,12347,10,,0,0,,0,0,Wohnungstausch/SWAP! 3-Zimmer Wohnung nähe U-Bhf Hermannstraße,0,,806,0
Bülowstr. 98-100,102,0,2020-06-20,0000-00-00,0,1,0,0,,0,0,0,1,,,,,,,,1,4,0,,,"Hereinspaziert zur Besichtigung am Samstag, 20.06. um 14:00 Uhr in der Bülowstr. 98-100 in 10783 Berlin. Bitte warten Sie vor dem Haus. Es findet KEINE Massenbesichtigung statt !!!

Diese Wohnung bietet sich optimal für eine 3er WG an!

Objektbeschreibung:
Nachmieter gesucht für diese schöne 3 Zimmerwohnung mit Wintergarten im 3. OG mit Fahrstuhl.

Ausstattung:
Die Zimmer sind großzügig geschnitten und haben einen Laminatfußboden.  Das Badezimmer ist hell gefliest und hat eine Badewanne. Die Wohnfläche beinhaltet einen Wintergarten. Für diese Wohnung existiert selbstverständlich ein Fahrstuhl.

Lage:
Der szenige und bürgerlich schicke Bezirk Schöneberg liegt zwischen Kreuzberg und Wilmersdorf. Man hat eine große Auswahl an stilvollen Kneipen, Cafe`s und Restaurants und ebenso viele lebendige und gediegene Ausgehviertel. Schönebergs Wochenmärkte -wie z.B. der Winterfeldmarkt (Mi. + Sa.) auf dem Winterfeldplatz oder der Brandenburgmarkt (Fr.) auf dem Wittenbergplatz, bieten sich besonders an, um Obst, Gemüse, exotische Gerichte, Käse und Weine zu kaufen. Nach einem ausgiebigen Einkauf kann man in einem der umliegenden Cafe`s entspannen. An der Tauentzienstr., der östlichen Verlängerung des Kurfürstendamms, lädt das Kaufhaus des Westens (KaDeWe), das größte Kaufhaus aus dem europäischen Festland, zum Bummeln und Einkaufen ein, welches sich unweit der Wohnung befindet. Zwischen Kurfürstendamm und Potsdamer Platz gelegen, erreichen Sie auch den Tiergarten innerhalb kürzester Zeit. Es bestehen gute Verkehrsanbindungen, U- Bahnh. -Nollendorfplatz, U-Bahnh.- Kurfürstenstr. und diverse Buslinien.

Sonstiges:
Ein Hauswart ist ganztägig als Ansprechpartner für Sie da. Eine Tiefgarage und/oder ein Parkplatz kann angemietet werden. Die Hundehaltung ist verboten. Bei Vertragsabschluss ist eine Mietschuldenfreiheitsbescheinigung des Vermieters, ein Lohnnachweis bzw. eine Bürgschaft im Original und eine Schufaauskunft erforderlich.
Die Warmendmiete beträgt 1689,00 €.",0,0,52.496960,13.365339,0,0,0,0,,,,,,,1301,3903,1,1,,0,388,3,7787305,,,0,0,0,,,,,,10783,0,,0,0,,0,0,3 Zimmer-WG-Wohnung mit Wintergarten Nähe Nollendorfplatz,0,,1689,0
